benchmark;Promoted;Demoted;Writes DRAM;Writes PCM;Total writes;Reads on DRAM;Reads on PCM;Total reads;Pages on memory;BUFFER SIZE;TIME TO MIGRATE;COUNTERS SIZE;PROMOTE VALUE;DEMOTE VALUE
Basicmath2020-01-191653;0;28561;7557478;1255138;8812616;7551389;1262474;8813863;1606;16;8192;32;9.000000;6.000000
Basicmath2020-01-191653;192;7726;8353682;458934;8812616;8352952;460911;8813863;1606;16;32768;32;4.000000;6.000000
Basicmath2020-01-191653;138;7685;8298304;514312;8812616;8297572;516291;8813863;1606;16;32768;32;5.000000;6.000000
Basicmath2020-01-191653;96;7646;8245672;566944;8812616;8244946;568917;8813863;1606;16;32768;32;6.000000;6.000000
Basicmath2020-01-191653;68;7620;8196946;615670;8812616;8196213;617650;8813863;1606;16;32768;32;7.000000;6.000000
Basicmath2020-01-191653;61;7613;8189847;622769;8812616;8189114;624749;8813863;1606;16;32768;32;8.000000;6.000000
Basicmath2020-01-191653;0;7566;8123024;689592;8812616;8122294;691569;8813863;1606;16;32768;32;9.000000;6.000000
Basicmath2020-01-191653;12584;118913;7929680;882936;8812616;7903265;910598;8813863;1606;16;2048;64;4.000000;6.000000
Basicmath2020-01-191653;11101;117627;7788131;1024485;8812616;7761319;1052544;8813863;1606;16;2048;64;5.000000;6.000000
Basicmath2020-01-191653;8233;115152;7558788;1253828;8812616;7531460;1282403;8813863;1606;16;2048;64;6.000000;6.000000
Basicmath2020-01-191653;5030;112351;7329091;1483525;8812616;7302093;1511770;8813863;1606;16;2048;64;7.000000;6.000000
Basicmath2020-01-191653;4180;111604;7273406;1539210;8812616;7246669;1567194;8813863;1606;16;2048;64;8.000000;6.000000
Basicmath2020-01-191653;0;108025;6970004;1842612;8812616;6943975;1869888;8813863;1606;16;2048;64;9.000000;6.000000
Basicmath2020-01-191653;2577;29651;8017855;794761;8812616;8012311;801552;8813863;1606;16;8192;64;4.000000;6.000000
Basicmath2020-01-191653;1608;29423;7837603;975013;8812616;7831806;982057;8813863;1606;16;8192;64;5.000000;6.000000
Basicmath2020-01-191653;1131;29260;7739850;1072766;8812616;7733904;1079959;8813863;1606;16;8192;64;6.000000;6.000000
Basicmath2020-01-191653;749;29110;7655277;1157339;8812616;7649236;1164627;8813863;1606;16;8192;64;7.000000;6.000000
Basicmath2020-01-191653;668;29070;7636405;1176211;8812616;7630354;1183509;8813863;1606;16;8192;64;8.000000;6.000000
Basicmath2020-01-191653;0;28792;7492752;1319864;8812616;7486606;1327257;8813863;1606;16;8192;64;9.000000;6.000000
Basicmath2020-01-191653;175;7749;8354241;458375;8812616;8353478;460385;8813863;1606;16;32768;64;4.000000;6.000000
Basicmath2020-01-191653;130;7704;8298625;513991;8812616;8297865;515998;8813863;1606;16;32768;64;5.000000;6.000000
Basicmath2020-01-191653;98;7677;8253977;558639;8812616;8253233;560630;8813863;1606;16;32768;64;6.000000;6.000000
Basicmath2020-01-191653;63;7643;8194641;617975;8812616;8193890;619973;8813863;1606;16;32768;64;7.000000;6.000000
Basicmath2020-01-191653;54;7637;8187673;624943;8812616;8186923;626940;8813863;1606;16;32768;64;8.000000;6.000000
Basicmath2020-01-191653;0;7588;8112999;699617;8812616;8112254;701609;8813863;1606;16;32768;64;9.000000;6.000000
Basicmath2020-01-191653;65701;70016;4037392;4775224;8812616;4037668;4776195;8813863;1606;32;2048;4;4.000000;6.000000
Basicmath2020-01-191653;33117;37560;2247370;6565246;8812616;2246127;6567736;8813863;1606;32;2048;4;5.000000;6.000000
Basicmath2020-01-191653;13051;17558;1026112;7786504;8812616;1022879;7790984;8813863;1606;32;2048;4;6.000000;6.000000
Basicmath2020-01-191653;2856;7430;390729;8421887;8812616;390964;8422899;8813863;1606;32;2048;4;7.000000;6.000000
Basicmath2020-01-191653;2547;7129;349795;8462821;8812616;350047;8463816;8813863;1606;32;2048;4;8.000000;6.000000
Basicmath2020-01-191653;0;4675;154992;8657624;8812616;155416;8658447;8813863;1606;32;2048;4;9.000000;6.000000
Basicmath2020-01-191653;16868;18563;4009918;4802698;8812616;4011694;4802169;8813863;1606;32;8192;4;4.000000;6.000000
Basicmath2020-01-191653;8843;10595;2202020;6610596;8812616;2204111;6609752;8813863;1606;32;8192;4;5.000000;6.000000
Basicmath2020-01-191653;3822;5631;1061492;7751124;8812616;1062128;7751735;8813863;1606;32;8192;4;6.000000;6.000000
Basicmath2020-01-191653;757;2620;409663;8402953;8812616;410639;8403224;8813863;1606;32;8192;4;7.000000;6.000000
Basicmath2020-01-191653;627;2492;374826;8437790;8812616;375807;8438056;8813863;1606;32;8192;4;8.000000;6.000000
Basicmath2020-01-191653;0;1882;224327;8588289;8812616;225333;8588530;8813863;1606;32;8192;4;9.000000;6.000000
Basicmath2020-01-191653;4137;4980;3968602;4844014;8812616;3969778;4844085;8813863;1606;32;32768;4;4.000000;6.000000
Basicmath2020-01-191653;2227;3104;2345667;6466949;8812616;2346787;6467076;8813863;1606;32;32768;4;5.000000;6.000000
Basicmath2020-01-191653;925;1840;1160122;7652494;8812616;1160961;7652902;8813863;1606;32;32768;4;6.000000;6.000000
Basicmath2020-01-191653;199;1132;533656;8278960;8812616;534791;8279072;8813863;1606;32;32768;4;7.000000;6.000000
Basicmath2020-01-191653;157;1092;503438;8309178;8812616;504569;8309294;8813863;1606;32;32768;4;8.000000;6.000000
Basicmath2020-01-191653;0;951;376837;8435779;8812616;378006;8435857;8813863;1606;32;32768;4;9.000000;6.000000
Basicmath2020-01-191653;63253;67612;3797055;5015561;8812616;3793985;5019878;8813863;1606;32;2048;8;4.000000;6.000000
Basicmath2020-01-191653;37884;42332;2379660;6432956;8812616;2377508;6436355;8813863;1606;32;2048;8;5.000000;6.000000
Basicmath2020-01-191653;13682;18203;1032510;7780106;8812616;1029166;7784697;8813863;1606;32;2048;8;6.000000;6.000000
Basicmath2020-01-191653;5720;10298;541144;8271472;8812616;540477;8273386;8813863;1606;32;2048;8;7.000000;6.000000
Basicmath2020-01-191653;5305;9886;508902;8303714;8812616;508519;8305344;8813863;1606;32;2048;8;8.000000;6.000000
Basicmath2020-01-191653;0;4652;163026;8649590;8812616;163450;8650413;8813863;1606;32;2048;8;9.000000;6.000000
Basicmath2020-01-191653;16502;18207;3859646;4952970;8812616;3861012;4952851;8813863;1606;32;8192;8;4.000000;6.000000
Basicmath2020-01-191653;10210;11974;2447128;6365488;8812616;2448404;6365459;8813863;1606;32;8192;8;5.000000;6.000000
Basicmath2020-01-191653;3967;5771;1070869;7741747;8812616;1071477;7742386;8813863;1606;32;8192;8;6.000000;6.000000
Basicmath2020-01-191653;1654;3501;575104;8237512;8812616;575955;8237908;8813863;1606;32;8192;8;7.000000;6.000000
Basicmath2020-01-191653;1527;3375;544826;8267790;8812616;545687;8268176;8813863;1606;32;8192;8;8.000000;6.000000
Basicmath2020-01-191653;0;1881;227023;8585593;8812616;228031;8585832;8813863;1606;32;8192;8;9.000000;6.000000
Basicmath2020-01-191653;3928;4764;3747647;5064969;8812616;3748709;5065154;8813863;1606;32;32768;8;4.000000;6.000000
Basicmath2020-01-191653;2440;3313;2403276;6409340;8812616;2404287;6409576;8813863;1606;32;32768;8;5.000000;6.000000
Basicmath2020-01-191653;999;1899;1185472;7627144;8812616;1186317;7627546;8813863;1606;32;32768;8;6.000000;6.000000
Basicmath2020-01-191653;440;1359;728624;8083992;8812616;729666;8084197;8813863;1606;32;32768;8;7.000000;6.000000
Basicmath2020-01-191653;402;1322;698521;8114095;8812616;699578;8114285;8813863;1606;32;32768;8;8.000000;6.000000
Basicmath2020-01-191653;0;936;380243;8432373;8812616;381417;8432446;8813863;1606;32;32768;8;9.000000;6.000000
Basicmath2020-01-191653;66655;71008;4090684;4721932;8812616;4088436;4725427;8813863;1606;32;2048;16;4.000000;6.000000
Basicmath2020-01-191653;33631;38105;2150722;6661894;8812616;2145236;6668627;8813863;1606;32;2048;16;5.000000;6.000000
Basicmath2020-01-191653;13637;18201;1013549;7799067;8812616;1010091;7803772;8813863;1606;32;2048;16;6.000000;6.000000
Basicmath2020-01-191653;6864;11471;606743;8205873;8812616;605632;8208231;8813863;1606;32;2048;16;7.000000;6.000000
